序号,园区企业名称,企业状态,所属园区,注册资本,法定代表人,成立日期,联系电话,国标行业一级,国标行业二级,国标行业三级,国标行业四级,所属省,所属市,所属区县
138,上海驭暮贸易有限公司,在营,上海市星火开发区,50.00万元,韩东,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,其他技术推广服务,上海市,,奉贤区
139,上海桦理建筑装饰有限公司,在营,上海奉城(市级)工业园区,50.00万元,李华,2024-08-29,,居民服务、修理和其他服务业,其他服务业,清洁服务,建筑物清洁服务,上海市,,奉贤区
140,上海玖亿宏耀科技有限公司,在营,万祥标准厂房区,50.00万元,李朋霞,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,其他科技推广服务业,其他科技推广服务业,上海市,,浦东新区
141,旗禹(上海)压缩机有限公司,在营,圣东尼高科产业园,50.00万元,裴修玲,2024-08-29,,制造业,通用设备制造业,泵、阀门、压缩机及类似机械制造,泵及真空设备制造,上海市,,金山区
142,上海毅铭晨汽车服务有限公司,在营,上海金山医疗器械服务产业园,50.00万元,李凯,2024-08-29,,批发和零售业,批发业,机械设备、五金产品及电子产品批发,汽车及零配件批发,上海市,,金山区
143,上海边茂科技有限公司,在营,张江创业源及配套设施项目(一期)南区,50.00万元,张志卿,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,生物技术推广服务,上海市,,浦东新区
144,上海峄辉生化科技有限公司,在营,上海申隆生态园,50.00万元,肖贺元,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,新材料技术推广服务,上海市,,奉贤区
145,上海得辉物流有限公司,在营,上海金山医疗器械服务产业园,50.00万元,刘春保,2024-08-29,,交通运输、仓储和邮政业,多式联运和运输代理业,运输代理业,货物运输代理,上海市,,宝山区
146,上海赫战信息科技有限公司,在营,富盛经济开发区创业园,50.00万元,严振玺,2024-08-29,,租赁和商务服务业,商务服务业,综合管理服务,其他综合管理服务,上海市,,崇明区
147,上海营行技术服务有限公司,在营,丰华园,50.00万元,赵彦波,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息处理和存储支持服务,信息处理和存储支持服务,上海市,,浦东新区
148,上海隆闵隆策划咨询有限公司,在营,上海市星火开发区,50.00万元,昝优,2024-08-29,,租赁和商务服务业,商务服务业,咨询与调查,市场调查,上海市,,奉贤区
149,上海速威船舶工程技术有限公司,在营,临港新片区环湖产业园,50.00万元,邓志鹏,2024-08-29,,制造业,铁路、船舶、航空航天和其他运输设备制造业,船舶及相关装置制造,金属船舶制造,上海市,,浦东新区
150,上海深衍朴算科技有限公司,在营,奇士科技产业园,30.00万元,杨天琪,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,应用软件开发,上海市,,闵行区
151,上海羽饰泽商贸有限公司,在营,栋霖科技园,30.00万元,李研研,2024-08-29,,批发和零售业,批发业,文化、体育用品及器材批发,首饰、工艺品及收藏品批发,上海市,,宝山区
152,上海筑园里建筑有限公司,在营,盛创企业家园二期(盛创科技园),30.00万元,王传荣,2024-08-29,,建筑业,土木工程建筑业,铁路、道路、隧道和桥梁工程建筑,其他道路、隧道和桥梁工程建筑,上海市,,嘉定区
153,上海联翔通货运代理有限公司,在营,菊园软件信息孵化园(嘉乐园商务大厦),20.00万元,汤宝力,2024-08-29,,交通运输、仓储和邮政业,多式联运和运输代理业,运输代理业,货物运输代理,上海市,,嘉定区
154,上海芯炀商务服务有限公司,在营,紫竹科学园区,20.00万元,曹阳,2024-08-29,,租赁和商务服务业,商务服务业,综合管理服务,其他综合管理服务,上海市,,闵行区
155,上海穆达迩信息科技有限公司,在营,漕河泾国际孵化中心(枫泾临港科创小镇),20.00万元,王尧,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,其他科技推广服务业,其他科技推广服务业,上海市,,金山区
156,上海西地宇宙智能科技有限公司,在营,上海奉城(市级)工业园区,20.00万元,李博文,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,应用软件开发,上海市,,奉贤区
157,上海鑫友乾科技有限公司,在营,上海国际中小企业城(南乐路),10.00万元,李建国,2024-08-29,,批发和零售业,批发业,贸易经纪与代理,贸易代理,上海市,,松江区
158,上海培鑫宇科技贸易有限公司,在营,市北高新技术服务园区,10.00万元,徐培玉,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息技术咨询服务,信息技术咨询服务,上海市,,静安区
159,上海择日再生资源回收有限公司,在营,万祥标准厂房区,10.00万元,蒋亮,2024-08-29,,批发和零售业,批发业,其他批发业,再生物资回收与批发,上海市,,浦东新区
160,上海仙果网络科技有限公司,在营,上海北郊未来产业园,10.00万元,牛潇冬,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,农林牧渔技术推广服务,上海市,,宝山区
161,上海小张总文化传播有限公司,在营,上海金山医疗器械服务产业园,10.00万元,张银廷,2024-08-29,,文化、体育和娱乐业,娱乐业,文化体育娱乐活动与经纪代理服务,文化娱乐经纪人,上海市,,宝山区
162,上海刺蜂科技有限公司,在营,上海市星火开发区,10.00万元,卢青霞,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,其他科技推广服务业,其他科技推广服务业,上海市,,奉贤区
163,上海琅珊科技有限公司,在营,恒信科技产业园,10.00万元,张应枝,2024-08-29,,批发和零售业,批发业,医药及医疗器材批发,医疗用品及器材批发,上海市,,金山区
164,上海同乘乙赢餐饮管理有限公司,在营,漕河泾开发区赵巷园区,10.00万元,杨利朋,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,新材料技术推广服务,上海市,,青浦区
165,泺德(上海)贸易有限公司,在营,上海市星火开发区,10.00万元,PODDARSUNILKUMAR,2024-08-29,,批发和零售业,批发业,文化、体育用品及器材批发,文具用品批发,上海市,,奉贤区
166,上海晟层贸易有限公司,在营,丰华园,10.00万元,金发兰,2024-08-29,,租赁和商务服务业,商务服务业,综合管理服务,其他综合管理服务,上海市,,浦东新区
167,上海事不过山实业有限公司,在营,中鑫企业广场,10.00万元,凤安波,2024-08-29,,文化、体育和娱乐业,广播、电视、电影和录音制作业,影视节目制作,影视节目制作,上海市,,普陀区
168,上海伶音文化艺术服务有限公司,在营,上海江桥经济城,10.00万元,张先阳,2024-08-29,,文化、体育和娱乐业,文化艺术业,文艺创作与表演,文艺创作与表演,上海市,,嘉定区
169,上海榆目品牌营销咨询有限公司,在营,上海奉城(市级)工业园区,10.00万元,王博峰,2024-08-29,,租赁和商务服务业,商务服务业,综合管理服务,其他综合管理服务,上海市,,奉贤区
170,上海中天智飞航空科技有限公司,在营,上海浦东软件园(居里路),10.00万元,陈启军,2024-08-29,,交通运输、仓储和邮政业,航空运输业,通用航空服务,其他通用航空服务,上海市,,浦东新区
171,上海岐春商贸有限公司,在营,"上海新曹杨工业园区,上海新曹杨集团公司高新技术工业园区A区",10.00万元,谢浩军,2024-08-29,,批发和零售业,批发业,贸易经纪与代理,贸易代理,上海市,,普陀区
172,上海车乃驰二手车有限公司,在营,菊园软件信息孵化园(嘉乐园商务大厦),10.00万元,耿龙香,2024-08-29,,批发和零售业,零售业,汽车、摩托车、零配件和燃料及其他动力销售,汽车新车零售,上海市,,嘉定区
173,上海水至佳电子商务有限公司,在营,金山第二工业区经济小区,10.00万元,姬长兴,2024-08-29,,租赁和商务服务业,商务服务业,综合管理服务,供应链管理服务,上海市,,金山区
174,上海知鲑餐饮管理有限公司,在营,"中采服务贸易产业园,朱家角工业园",10.00万元,郭文斌,2024-08-29,,租赁和商务服务业,商务服务业,综合管理服务,其他综合管理服务,上海市,,青浦区
175,上海科孚纳工业自动化有限公司,在营,漕河泾科技绿洲,10.00万元,郭王辉,2024-08-29,,科学研究和技术服务业,专业技术服务业,工业与专业设计及其他专业技术服务,其他未列明专业技术服务业,上海市,,松江区
176,上海玉博玉网络科技有限公司,在营,上海金山医疗器械服务产业园,10.00万元,解博元,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息技术咨询服务,信息技术咨询服务,上海市,,宝山区
177,上海纭友智能科技有限公司,在营,"中采服务贸易产业园,朱家角工业园",10.00万元,李晓敏,2024-08-29,,租赁和商务服务业,商务服务业,组织管理服务,企业总部管理,上海市,,青浦区
178,上海子瑜网络科技有限公司,在营,上海奉贤经济开发区生物科技园区,10.00万元,倪亮亮,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息处理和存储支持服务,信息处理和存储支持服务,上海市,,奉贤区
179,上海松兴子酒店服务有限公司,在营,江海工业园,10.00万元,邹云松,2024-08-29,,租赁和商务服务业,商务服务业,综合管理服务,其他综合管理服务,上海市,,奉贤区
180,上海盔甲鸟信息科技有限公司,在营,漕河泾国际孵化中心(枫泾临港科创小镇),10.00万元,许成来,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,其他技术推广服务,上海市,,金山区
181,上海泽仁堂保健品科技有限公司,在营,上海枫泾都市型工业园,10.00万元,王怀银,2024-08-29,,科学研究和技术服务业,研究和试验发展,医学研究和试验发展,医学研究和试验发展,上海市,,金山区
182,上海福伶生物科技有限公司,在营,智霸科创园,10.00万元,陈义军,2024-08-29,,制造业,仪器仪表制造业,通用仪器仪表制造,实验分析仪器制造,上海市,,奉贤区
183,上海建伏电气工程有限公司,在营,国家级上海松江经济技术开发区(中山街道),10.00万元,张建,2024-08-29,,建筑业,土木工程建筑业,电力工程施工,太阳能发电工程施工,上海市,,松江区
184,上海上耶上耶贸易有限公司,在营,万祥标准厂房区,10.00万元,郭鹏,2024-08-29,,批发和零售业,批发业,文化、体育用品及器材批发,首饰、工艺品及收藏品批发,上海市,,浦东新区
185,上海锦云间电子商务有限公司,在营,上海金山医疗器械服务产业园,10.00万元,李同新,2024-08-29,,批发和零售业,零售业,货摊、无店铺及其他零售业,互联网零售,上海市,,金山区
186,上海烽斌贸易有限公司,在营,上海服装服饰市场,10.00万元,余荣斌,2024-08-29,,批发和零售业,批发业,其他批发业,宠物食品用品批发,上海市,,静安区
187,上海长耐再生资源回收有限公司,在营,万祥标准厂房区,10.00万元,蒋敬勇,2024-08-29,,批发和零售业,批发业,其他批发业,再生物资回收与批发,上海市,,浦东新区
188,上海嵊连嵊网络科技有限公司,在营,上海金山医疗器械服务产业园,10.00万元,陈日连,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息技术咨询服务,信息技术咨询服务,上海市,,宝山区
189,上海凯彼吨餐饮管理有限公司,在营,上海精细化工火炬创新创业园,10.00万元,欧阳颖楠,2024-08-29,,租赁和商务服务业,商务服务业,综合管理服务,其他综合管理服务,上海市,,金山区
190,上海浙厢酒店服务有限公司,在营,江海工业园,10.00万元,李香女,2024-08-29,,租赁和商务服务业,商务服务业,综合管理服务,供应链管理服务,上海市,,奉贤区
191,上海诺埃迪文化传媒有限公司,在营,临港新片区环湖产业园,10.00万元,沈婷婷,2024-08-29,,文化、体育和娱乐业,文化艺术业,其他文化艺术业,其他文化艺术业,上海市,,浦东新区
192,上海豫博豫网络科技有限公司,在营,上海金山医疗器械服务产业园,10.00万元,解博元,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息技术咨询服务,信息技术咨询服务,上海市,,宝山区
